Bottom Zone List for /home/santhosh/work/fonts/Malini/fonts/Malini/otf/Malini-Regular.otf on Mon Jan 23 15:29:25 2023
count   height    glyphs
    8     -690    [ml_na_virama_rra_sign_uu ml_chillu_n_virama_rra_sign_uu ml_sa_virama_sa_sign_uu ml_rra_virama_rra_sign_uu]
    8     -665    [ml_na_virama_rra_sign_u ml_chillu_n_virama_rra_sign_u ml_sa_virama_sa_sign_u ml_rra_virama_rra_sign_u]
    2     -649    [ml_sha_virama_sha_sign_uu]
    2     -632    [ml_sha_virama_sha_sign_u]
    2     -628    [ml_la_virama_la_sign_uu]
    2     -603    [ml_la_virama_la_sign_u]
    4     -586    [ml_na_virama_rra_sign_uu ml_chillu_n_virama_rra_sign_uu ml_sa_virama_sa_sign_uu ml_rra_virama_rra_sign_uu]
    2     -567    [ml_sign_vocalic_ll]
    2     -564    [ml_pa_virama_pa_sign_uu]
    2     -563    [ml_nna_virama_nna_sign_uu]
    2     -539    [ml_pa_virama_pa_sign_u]
    2     -525    [ml_da_virama_da_sign_uu]
    1     -523    [ml_la_virama_la_sign_uu]
    1     -517    [ml_sha_virama_sha_sign_uu]
    8     -510    [ml_ca_virama_ca_sign_uu ml_ba_virama_ba_sign_uu ml_ya_virama_ya_sign_uu ml_va_virama_va_sign_uu]
    4     -506    [ml_tta_virama_tta_sign_uu ml_virama_ya_sign_uu]
    2     -500    [ml_da_virama_da_sign_u]
    1     -499    [ml_sha_virama_sha_sign_u]
    6     -497    [ml_lla_sign_uu ml_lla_virama_lla_sign_uu ml_ba_virama_ra_sign_uu]
    8     -485    [ml_ca_virama_ca_sign_u ml_ba_virama_ba_sign_u ml_ya_virama_ya_sign_u ml_va_virama_va_sign_u]
    4     -481    [ml_tta_virama_tta_sign_u ml_virama_ya_sign_u]
    6     -472    [ml_lla_sign_u ml_lla_virama_lla_sign_u ml_ba_virama_ra_sign_u]
    3     -459    [ml_pa_virama_pa_sign_uu ml_sha_virama_ra_sign_uu]
    2     -458    [ml_ta_virama_ra_sign_uu]
    2     -455    [ml_sa_virama_ta_virama_ra]
    2     -453    [ml_ka_virama_ka_virama_ra_sign_uu]
    2     -448    [ml_ka_virama_ta_virama_ra_sign_uu]
   24     -445    [cedilla cedillacmb ccedilla kcedilla lcedilla rcedilla scedilla Ccedilla Gcedilla Kcedilla Ncedilla Rcedilla Scedilla]
    6     -444    [ml_na_virama_ta_virama_ra_sign_uu ml_pa_virama_ra_sign_uu ml_ma_virama_ra_sign_uu]
    2     -443    [ml_ssa_virama_ra_sign_uu]
    2     -442    [ml_ha_virama_ra_sign_uu]
    2     -441    [ml_ga_virama_ra_sign_uu]
    4     -440    [ml_dda_virama_ra_sign_uu ml_dha_virama_ra_sign_uu]
    6     -439    [ml_ssa_virama_ttha ml_ga_virama_da_virama_dha_virama_ra_sign_uu ml_va_virama_ra_sign_uu]
    2     -438    [ml_da_virama_dha_virama_ra_sign_uu]
    2     -434    [ml_sha_virama_ra_sign_u]
    4     -433    [ml_ta_virama_ra_sign_u ml_ma_virama_pa_virama_ra_sign_uu]
    2     -431    [ml_ba_virama_da]
    2     -428    [ml_ka_virama_ka_virama_ra_sign_u]
    4     -427    [ml_dda_virama_dda ml_dda_virama_ddha]
    4     -423    [ml_ka_virama_ta_virama_ra_sign_u ml_pha_virama_ra_sign_uu]
    2     -422    [ml_nga_virama_ka_virama_ra_sign_uu]
    1     -421    [ml_da_virama_da_sign_uu]
    2     -420    [ml_pa_virama_ta]
    6     -419    [ml_na_virama_ta_virama_ra_sign_u ml_pa_virama_ra_sign_u ml_ma_virama_ra_sign_u]
    2     -418    [ml_ssa_virama_ra_sign_u]
    2     -417    [ml_ha_virama_ra_sign_u]
    2     -416    [ml_ga_virama_ra_sign_u]
   16     -415    [ml_nna_virama_nna ml_nna_virama_nna_sign_u ml_nna_virama_nna_sign_uu ml_sa_virama_sa ml_sign_vocalic_l ml_sign_vocalic_ll ml_sa_virama_sa_sign_u ml_sa_virama_sa_sign_uu ml_dda_virama_ra_sign_u ml_dha_virama_ra_sign_u]
    4     -414    [ml_ga_virama_da_virama_dha_virama_ra_sign_u ml_va_virama_ra_sign_u]
    2     -413    [ml_da_virama_dha_virama_ra_sign_u]
    2     -408    [ml_ma_virama_pa_virama_ra_sign_u]
    4     -405    [ml_ca_virama_ca_sign_uu ml_ba_virama_ba_sign_uu ml_ya_virama_ya_sign_uu ml_va_virama_va_sign_uu]
    4     -404    [ml_na_virama_rra_sign_u ml_na_virama_rra_sign_uu ml_chillu_n_virama_rra_sign_u ml_chillu_n_virama_rra_sign_uu]
    2     -403    [ml_nna_virama_tta_virama_ra_sign_uu]
   29     -402    [ml_nna_virama_ttha ml_la_virama_la ml_virama_la ml_ka_virama_la ml_ga_virama_la ml_ta_virama_la ml_pha_virama_la ml_ba_virama_la ml_ma_virama_la ml_va_virama_la ml_sha_virama_la ml_sa_virama_la ml_ha_virama_la ml_la_virama_la_sign_u ml_la_virama_la_sign_uu ml_virama_ya_sign_uu]
    3     -401    [ml_tta_virama_tta_sign_uu ml_ka_virama_ra_sign_uu]
    4     -400    [ml_sha_virama_sha ml_sha_virama_sha_sign_u ml_sha_virama_sha_sign_uu]
    2     -398    [ml_pha_virama_ra_sign_u]
    2     -397    [ml_nga_virama_ka_virama_ra_sign_u]
    2     -394    [ml_da_virama_ra_sign_uu]
    3     -392    [ml_lla_sign_uu ml_lla_virama_lla_sign_uu ml_ba_virama_ra_sign_uu]
    2     -390    [ml_ga_virama_ga]
    2     -388    [ml_ssa_virama_tta]
    2     -386    [ml_ca_virama_cha]
    2     -384    [ml_ssa_virama_tta_virama_ra]
    4     -383    [ml_na_virama_da_virama_ra_sign_uu ml_sa_virama_ra_sign_uu]
    4     -378    [ml_sa_virama_ta ml_nna_virama_tta_virama_ra_sign_u]
    2     -376    [ml_ka_virama_ra_sign_u]
    1     -373    [ml_ca_virama_cha]
    2     -370    [ml_pa_virama_la]
    2     -369    [ml_da_virama_ra_sign_u]
    4     -358    [ml_na_virama_da_virama_ra_sign_u ml_sa_virama_ra_sign_u]
    1     -354    [ml_sha_virama_ra_sign_uu]
    1     -353    [ml_ta_virama_ra_sign_uu]
    1     -348    [ml_ka_virama_ka_virama_ra_sign_uu]
    1     -343    [ml_ka_virama_ta_virama_ra_sign_uu]
    1     -340    [ml_pa_virama_ra_sign_uu]
    2     -339    [ml_na_virama_ta_virama_ra_sign_uu ml_ma_virama_ra_sign_uu]
    1     -338    [ml_ssa_virama_ra_sign_uu]
    1     -337    [ml_ha_virama_ra_sign_uu]
    1     -336    [ml_ga_virama_ra_sign_uu]
   19     -335    [ml_ka_sign_vocalic_r ml_nga_virama_ka_sign_vocalic_r ml_dda_sign_vocalic_r ml_dha_sign_vocalic_r ml_sha_sign_vocalic_r ml_sa_sign_vocalic_r ml_sign_vocalic_r ml_sign_vocalic_rr ml_ga_virama_da_virama_dha_virama_ra_sign_uu ml_dda_virama_ra_sign_uu ml_dha_virama_ra_sign_uu]
    2     -334    [ml_da_virama_dha_virama_ra_sign_uu ml_va_virama_ra_sign_uu]
    1     -329    [ml_sa_virama_ta_virama_ra]
    1     -328    [ml_ma_virama_pa_virama_ra_sign_uu]
    3     -323    [ml_sha_virama_sha_sign_uu ml_ssa_virama_pa]
    1     -318    [ml_pha_virama_ra_sign_uu]
    3     -317    [ml_sa_virama_pa ml_nga_virama_ka_virama_ra_sign_uu]
    1     -315    [ml_sa_virama_pa]
   32     -310    [uu_drop_sign ml_sign_uu ml_kha_sign_uu ml_gha_sign_uu ml_nya_sign_uu ml_ttha_sign_uu ml_da_sign_uu ml_llla_sign_uu ml_ka_virama_ssa_sign_uu ml_ga_virama_da_sign_uu ml_nya_virama_ca_sign_uu ml_ja_virama_nya_sign_uu ml_nya_virama_nya_sign_uu ml_ta_virama_tha_sign_uu ml_ta_virama_sa_sign_uu ml_sa_virama_tha_sign_uu]
   10     -307    [ml_ga_virama_ma_sign_uu ml_ja_virama_ra_sign_uu ml_ta_virama_ta_virama_ra_sign_uu ml_na_virama_dha_virama_ra_sign_uu ml_bha_virama_ra_sign_uu]
    2     -303    [ml_la_virama_pa]
    1     -298    [ml_nna_virama_tta_virama_ra_sign_uu]
    1     -297    [ml_ka_virama_ra_sign_uu]
   31     -295    [ogonek ogonekcmb y ml_la_virama_pa ycircumflex yacute ygrave ydieresis aogonek eogonek iogonek uogonek Aogonek Eogonek Iogonek Uogonek]
    4     -292    [ml_rra_sign_uu ml_sa_sign_uu]
    2     -291    [ml_nga_sign_uu]
    4     -290    [ij j]
    3     -289    [dotlessj ml_da_virama_ra_sign_uu]
   48     -286    [ml_ka_sign_uu ml_ka_virama_ka_sign_uu ml_ga_sign_u ml_ga_sign_uu ml_nga_virama_ka_sign_uu ml_cha_sign_u ml_cha_sign_uu ml_ja_sign_u ml_ja_sign_uu ml_ja_virama_ja_sign_u ml_ja_virama_ja_sign_uu ml_ta_sign_u ml_ta_sign_uu ml_ta_virama_ta_sign_u ml_ta_virama_ta_sign_uu ml_ta_virama_bha_sign_u ml_na_virama_ta_sign_u ml_na_virama_ta_sign_uu ml_pa_virama_pa ml_sha_sign_u ml_sha_sign_uu ml_ha_sign_u ml_ha_sign_uu ml_pa_virama_pa_sign_u ml_pa_virama_pa_sign_uu]
