Horizontal Stem List for /home/santhosh/work/fonts/Malini/fonts/Malini/otf/Malini-Regular.otf on Mon Jan 23 15:26:54 2023
count    width    glyphs
  187       36    [one A B D E Eng F G H I IJ J K L Lslash M N P R T U V W X Y f ff fi ft h hbar i ij k l lslash m n p paragraph q r thorn v w x y yen ml_ssa_virama_pa hcircumflex wcircumflex ycircumflex Acircumflex Ecircumflex Gcircumflex Hcircumflex Icircumflex Ucircumflex Wcircumflex Ycircumflex lacute nacute racute wacute yacute Aacute Eacute Iacute Lacute Nacute Racute Uacute Wacute Yacute kcedilla lcedilla ncedilla rcedilla Gcedilla Kcedilla Lcedilla Ncedilla Rcedilla Aring Uring Amacron Emacron Imacron Umacron wgrave ygrave Agrave Egrave Igrave Ugrave Wgrave Ygrave lcaron ncaron rcaron Acaron Dcaron Ecaron Lcaron Ncaron Rcaron Tcaron wdieresis ydieresis Adieresis Edieresis Idieresis Udieresis Wdieresis Ydieresis Edotaccent Gdotaccent Idotaccent ntilde Atilde Itilde Ntilde Utilde Abreve Gbreve Ubreve Aogonek Eogonek Iogonek Uogonek Uhungarumlaut Tcommaaccent]
  141       64    [B uni3A9 pi ml_ka_virama_ssa ml_kha ml_ga_virama_ma ml_gha ml_nya_virama_ca ml_nna_virama_ma ml_tha ml_na_virama_tha ml_na_virama_ma ml_pa ml_pa_sign_vocalic_r ml_pa_virama_ta ml_pa_virama_na ml_pa_virama_pa ml_pa_virama_ra ml_pa_virama_rra_virama_rra ml_pha ml_pha_virama_ra ml_pha_virama_rra_virama_rra ml_ba ml_ba_sign_vocalic_r ml_ba_virama_da ml_ba_virama_ba ml_ba_virama_ra ml_ma ml_ma_sign_vocalic_r ml_ma_virama_pa ml_ma_virama_pa_virama_ra ml_ma_virama_ma ml_ma_virama_ra ml_la ml_la_virama_pa ml_la_virama_la ml_va ml_va_sign_vocalic_r ml_va_virama_ra ml_va_virama_va ml_ssa ml_ssa_virama_tta ml_ssa_virama_tta_virama_ra ml_ssa_virama_ttha ml_ssa_virama_pa ml_ssa_virama_ra ml_sa_virama_tha ml_ha ml_ha_sign_u ml_ha_sign_uu ml_ha_sign_vocalic_r ml_ha_virama_na ml_ha_virama_na_sign_u ml_ha_virama_na_sign_uu ml_ha_virama_ma ml_ha_virama_ra ml_digit_two ml_digit_three ml_digit_eight ml_fraction_one_sixteenth ml_fraction_one_eighth ml_pa_virama_la ml_pha_virama_la ml_ba_virama_la ml_ma_virama_la ml_va_virama_la ml_ha_virama_la ml_kha_sign_u ml_kha_sign_uu ml_gha_sign_u ml_gha_sign_uu ml_tha_sign_u ml_tha_sign_uu ml_pa_sign_u ml_pa_sign_uu ml_pha_sign_u ml_pha_sign_uu ml_ba_sign_u ml_ba_sign_uu ml_ma_sign_u ml_ma_sign_uu ml_la_sign_u ml_la_sign_uu ml_va_sign_u ml_va_sign_uu ml_ssa_sign_u ml_ssa_sign_uu ml_ka_virama_ssa_sign_u ml_ka_virama_ssa_sign_uu ml_ga_virama_ma_sign_u ml_ga_virama_ma_sign_uu ml_nya_virama_ca_sign_u ml_nya_virama_ca_sign_uu ml_nna_virama_ma_sign_u ml_nna_virama_ma_sign_uu ml_na_virama_tha_sign_u ml_na_virama_tha_sign_uu ml_na_virama_ma_sign_u ml_na_virama_ma_sign_uu ml_pa_virama_pa_sign_u ml_pa_virama_pa_sign_uu ml_ba_virama_ba_sign_u ml_ba_virama_ba_sign_uu ml_ma_virama_ma_sign_u ml_ma_virama_ma_sign_uu ml_ma_virama_pa_sign_u ml_ma_virama_pa_sign_uu ml_la_virama_la_sign_u ml_la_virama_la_sign_uu ml_va_virama_va_sign_u ml_va_virama_va_sign_uu ml_sa_virama_tha_sign_u ml_sa_virama_tha_sign_uu ml_ha_virama_ma_sign_u ml_ha_virama_ma_sign_uu ml_pa_virama_ra_sign_u ml_pa_virama_ra_sign_uu ml_pha_virama_ra_sign_u ml_pha_virama_ra_sign_uu ml_ba_virama_ra_sign_u ml_ba_virama_ra_sign_uu ml_ma_virama_ra_sign_u ml_ma_virama_ra_sign_uu ml_ma_virama_pa_virama_ra_sign_u ml_ma_virama_pa_virama_ra_sign_uu ml_va_virama_ra_sign_u ml_va_virama_ra_sign_uu ml_ha_virama_ra_sign_u ml_ha_virama_ra_sign_uu ml_ssa_virama_ra_sign_u ml_ssa_virama_ra_sign_uu]
  108       52    [E Euro F caron caroncmb circumflex circumflexcmb hbar ordfeminine yen ml_ka ml_ka_sign_uu ml_ka_sign_vocalic_r ml_ka_virama_ka ml_ka_virama_ka_sign_u ml_ka_virama_ka_sign_uu ml_ka_virama_ka_virama_ra ml_ka_virama_ta ml_ka_virama_ta_virama_ra ml_ka_virama_ra ml_ka_virama_ssa ml_nga_virama_ka ml_nga_virama_ka_sign_uu ml_nga_virama_ka_sign_vocalic_r ml_na_virama_tha ml_ba ml_ba_sign_vocalic_r ml_ba_virama_da ml_ba_virama_ba ml_ba_virama_ra ml_ma_virama_pa ml_ma_virama_pa_virama_ra ml_sa_virama_tha ml_digit_three ml_chillu_k uni20A9 acircumflex ccircumflex ecircumflex gcircumflex hcircumflex icircumflex ocircumflex scircumflex ucircumflex wcircumflex ycircumflex Acircumflex Ccircumflex Ecircumflex Gcircumflex Hcircumflex Icircumflex Ocircumflex Scircumflex Ucircumflex Wcircumflex Ycircumflex Eacute Emacron Egrave acaron ccaron dcaron ecaron ncaron rcaron scaron zcaron Acaron Ccaron Dcaron Ecaron Ncaron Rcaron Scaron Tcaron Zcaron Edieresis Edotaccent Eogonek ml_ka_virama_la ml_ba_virama_la ml_ba_sign_u ml_ba_sign_uu ml_ka_virama_ssa_sign_u ml_ka_virama_ssa_sign_uu ml_na_virama_tha_sign_u ml_na_virama_tha_sign_uu ml_ba_virama_ba_sign_u ml_ba_virama_ba_sign_uu ml_ma_virama_pa_sign_u ml_ma_virama_pa_sign_uu ml_sa_virama_tha_sign_u ml_sa_virama_tha_sign_uu ml_ka_virama_ra_sign_u ml_ka_virama_ra_sign_uu ml_ka_virama_ka_virama_ra_sign_u ml_ka_virama_ka_virama_ra_sign_uu ml_ka_virama_ta_virama_ra_sign_u ml_ka_virama_ta_virama_ra_sign_uu ml_ba_virama_ra_sign_u ml_ba_virama_ra_sign_uu ml_ma_virama_pa_virama_ra_sign_u ml_ma_virama_pa_virama_ra_sign_uu]
   76       72    [two four five b d dcroat h i k l logicalnot lslash macron macroncmb minus mu numbersign paragraph u underscore ml_ka_sign_uu ml_ka_virama_ka_sign_uu ml_ga_sign_u ml_ga_sign_uu ml_nga_virama_ka_sign_uu ml_cha_sign_u ml_cha_sign_uu ml_ja_sign_u ml_ja_sign_uu ml_ja_virama_ja_sign_u ml_ja_virama_ja_sign_uu ml_ta_sign_u ml_ta_sign_uu ml_ta_virama_ta_sign_u ml_ta_virama_ta_sign_uu ml_ta_virama_bha_sign_u ml_na_virama_ta_sign_u ml_na_virama_ta_sign_uu ml_sha_sign_u ml_sha_sign_uu ml_sha_virama_sha_sign_u ml_sha_virama_sha_sign_uu ml_ssa_virama_tta ml_ssa_virama_tta_virama_ra ml_ha_sign_u ml_ha_sign_uu ml_ttta ml_chillu_m ml_fraction_three_eightieths ml_digit_one hcircumflex ucircumflex lacute uacute kcedilla lcedilla uring amacron emacron imacron omacron umacron Amacron Emacron Imacron Omacron Umacron ugrave dcaron udieresis utilde ubreve uogonek uhungarumlaut]
   68       51    [D Dcroat E Eth Euro F P R T Z bracketleft bracketright trademark z ml_ka_sign_u ml_ka_virama_rra_virama_rra ml_nga_virama_ka_sign_u ml_nga_virama_ka_virama_ra ml_sa_virama_pa ml_fraction_one_twentieth uni20A9 Ecircumflex zacute Eacute Racute Zacute Rcedilla Emacron Egrave zcaron Dcaron Ecaron Rcaron Tcaron Zcaron Edieresis zdotaccent Edotaccent Zdotaccent Eogonek Tcommaaccent ml_nga_virama_ka_virama_ra_sign_u ml_nga_virama_ka_virama_ra_sign_uu]
   52       69    [ml_ka_sign_uu ml_ka_virama_ka_sign_uu ml_ga_sign_u ml_ga_sign_uu ml_nga_virama_ka_sign_uu ml_ca ml_ca_virama_ca ml_ca_virama_cha ml_cha ml_cha_sign_u ml_cha_sign_uu ml_ja_sign_u ml_ja_sign_uu ml_ja_virama_ja_sign_u ml_ja_virama_ja_sign_uu ml_ja_virama_nya ml_nya ml_nya_virama_nya ml_ta_sign_u ml_ta_sign_uu ml_ta_virama_ta ml_ta_virama_ta_sign_u ml_ta_virama_ta_sign_uu ml_ta_virama_bha_sign_u ml_na_virama_ta ml_na_virama_ta_sign_u ml_na_virama_ta_sign_uu ml_na_virama_ta_virama_ra ml_bha_sign_u ml_sha_sign_u ml_sha_sign_uu ml_sha_virama_ca ml_sha_virama_sha_sign_u ml_ha_sign_u ml_ha_sign_uu ml_ca_sign_u ml_ca_sign_uu ml_nya_sign_u ml_nya_sign_uu ml_ca_virama_ca_sign_u ml_ca_virama_ca_sign_uu ml_ja_virama_nya_sign_u ml_ja_virama_nya_sign_uu ml_nya_virama_nya_sign_u ml_nya_virama_nya_sign_uu ml_sha_virama_ca_sign_u ml_sha_virama_ca_sign_uu ml_na_virama_ta_virama_ra_sign_u ml_na_virama_ta_virama_ra_sign_uu]
   37      175    [E F L Lslash T Z z Ecircumflex zacute Eacute Lacute Zacute Emacron Egrave zcaron Ecaron Lcaron Tcaron Zcaron Edieresis zdotaccent Edotaccent Zdotaccent Eogonek Tcommaaccent]
   28       61    [hyphen seven R dcroat divide e emdash endash uni3A9 ml_ja ml_ja_sign_u ml_ja_sign_uu ml_ja_virama_ja_sign_u ml_ja_virama_ja_sign_uu ml_sa_virama_tha ml_date_mark uni20B9 ecircumflex eacute Racute Rcedilla emacron egrave ecaron Rcaron edieresis edotaccent eogonek]
   27       62    [A H Hbar L Lslash P sterling tt ml_fraction_one_quarter uni20B9 Acircumflex Hcircumflex Aacute Lacute Lcedilla Aring Amacron Agrave Acaron Lcaron Adieresis Atilde Abreve Aogonek]
   23       63    [ml_e ml_ee ml_ai ml_gha ml_ja ml_ja_sign_u ml_ja_sign_uu ml_ja_virama_ja_sign_u ml_ja_virama_ja_sign_uu ml_ta_virama_tha ml_ta_virama_ma ml_pa_virama_pa ml_la_virama_pa ml_virama_va ml_fraction_three_sixteenths ml_gha_sign_u ml_gha_sign_uu ml_ta_virama_tha_sign_u ml_ta_virama_tha_sign_uu ml_ta_virama_ma_sign_u ml_ta_virama_ma_sign_uu ml_pa_virama_pa_sign_u ml_pa_virama_pa_sign_uu]
   18       70    [ml_i ml_ii ml_u ml_uu ml_tta_virama_tta ml_ta_virama_ra ml_lla ml_lla_virama_lla ml_sha_virama_sha_sign_uu ml_sa_virama_ta_virama_ra ml_lla_sign_u ml_lla_sign_uu ml_tta_virama_tta_sign_u ml_tta_virama_tta_sign_uu ml_lla_virama_lla_sign_u ml_lla_virama_lla_sign_uu ml_ta_virama_ra_sign_u ml_ta_virama_ra_sign_uu]
   17      203    [C G S Ccircumflex Gcircumflex Scircumflex Cacute Sacute Ccedilla Gcedilla Scedilla Ccaron Scaron Cdotaccent Gdotaccent Gbreve Scommaaccent]
   15       45    [f ff fi ft t tcaron tcommaaccent ml_ca_virama_ca_sign_u ml_ca_virama_ca_sign_uu ml_ba_virama_ba_sign_u ml_ba_virama_ba_sign_uu ml_ya_virama_ya_sign_u ml_ya_virama_ya_sign_uu ml_va_virama_va_sign_u ml_va_virama_va_sign_uu]
   13       90    [AE equal g ordfeminine plus plusminus sterling gcircumflex gcedilla gdotaccent gbreve]
   13       68    [g ml_na_virama_ta_sign_uu ml_ma ml_ma_sign_vocalic_r ml_ma_virama_ma gcircumflex gcedilla gdotaccent gbreve ml_ma_sign_u ml_ma_sign_uu ml_ma_virama_ma_sign_u ml_ma_virama_ma_sign_uu]
   13       44    [ml_ca_virama_ca ml_ba_virama_ba ml_ya_virama_ya ml_va_virama_va ml_fraction_one_fifth ml_ca_virama_ca_sign_u ml_ca_virama_ca_sign_uu ml_ba_virama_ba_sign_u ml_ba_virama_ba_sign_uu ml_ya_virama_ya_sign_u ml_ya_virama_ya_sign_uu ml_va_virama_va_sign_u ml_va_virama_va_sign_uu]
   11       26    [ml_e ml_ee ml_ai ml_pa_virama_ta ml_pa_virama_na ml_pa_virama_pa ml_pha_virama_ra ml_pa_virama_pa_sign_u ml_pa_virama_pa_sign_uu ml_pha_virama_ra_sign_u ml_pha_virama_ra_sign_uu]
   10      157    [dollar s ml_vedic_anusvara ml_i ml_ii scircumflex sacute scedilla scaron scommaaccent]
   10      143    [E F Ecircumflex Eacute Emacron Egrave Ecaron Edieresis Edotaccent Eogonek]
   10       71    [ml_i ml_u ml_uu ml_bha_sign_u ml_lla ml_lla_virama_lla ml_lla_sign_u ml_lla_sign_uu ml_lla_virama_lla_sign_u ml_lla_virama_lla_sign_uu]
    9       87    [percent ml_kha_sign_u ml_kha_sign_uu ml_ka_virama_ssa_sign_u ml_ka_virama_ssa_sign_uu ml_nya_virama_ca_sign_u ml_nya_virama_ca_sign_uu ml_sa_virama_tha_sign_u ml_sa_virama_tha_sign_uu]
    7      147    [dollar s scircumflex sacute scedilla scaron scommaaccent]
    5       53    [ml_kha ml_kha_sign_u ml_kha_sign_uu ml_pa_virama_pa_sign_u ml_pa_virama_pa_sign_uu]
    5       47    [ml_cha ml_cha_sign_u ml_cha_sign_uu ml_digit_two ml_digit_eight]
    4      131    [ml_ja_sign_u ml_ja_sign_uu ml_ja_virama_ja_sign_u ml_ja_virama_ja_sign_uu]
    4       66    [ml_ca_sign_u ml_ca_sign_uu ml_sha_virama_ca_sign_u ml_sha_virama_ca_sign_uu]
    4       19    [ml_pa_virama_pa ml_la_virama_pa ml_pa_virama_pa_sign_u ml_pa_virama_pa_sign_uu]
    3      145    [ml_ta_virama_ta_sign_u ml_ta_virama_ta_sign_uu ml_na_virama_ta_sign_uu]
    3      127    [ml_la_virama_la ml_la_virama_la_sign_u ml_la_virama_la_sign_uu]
    3       67    [ml_ma_virama_ma ml_ma_virama_ma_sign_u ml_ma_virama_ma_sign_uu]
    3       58    [AE OE trademark]
    3       48    [ml_e ml_ee ml_ai]
