Top Zone List for /home/santhosh/work/fonts/Malini/fonts/Malini/otf/Malini-Regular.otf on Mon Jan 23 15:29:25 2023
count   height    glyphs
   22     1075    [Acircumflex Ccircumflex Ecircumflex Gcircumflex Hcircumflex Icircumflex Ocircumflex Scircumflex Ucircumflex Wcircumflex Ycircumflex]
    4     1034    [Aring Uring]
   14      967    [Adieresis Edieresis Idieresis Odieresis Udieresis Wdieresis Ydieresis]
   18      952    [Acaron Ccaron Dcaron Ecaron Ncaron Rcaron Scaron Tcaron Zcaron]
   10      945    [Cdotaccent Edotaccent Gdotaccent Idotaccent Zdotaccent]
   10      936    [Amacron Emacron Imacron Omacron Umacron]
    4      935    [commaturnedabovecmb commaturnedmod gcedilla]
   24      925    [circumflex circumflexcmb acircumflex ccircumflex ecircumflex gcircumflex hcircumflex icircumflex ocircumflex scircumflex ucircumflex wcircumflex ycircumflex]
    2      898    [ordmasculine]
    2      891    [lcaron]
   10      884    [degree ring ringcmb aring uring]
   10      852    [Atilde Itilde Ntilde Otilde Utilde]
    2      832    [Aring Uring]
    2      825    [ml_sign_ii]
   23      824    [b d dcroat h k l lslash hcircumflex lacute kcedilla lcedilla dcaron]
   16      817    [dieresis dieresiscmb adieresis edieresis idieresis odieresis udieresis wdieresis ydieresis]
    4      814    [Gbreve Ubreve]
   17      802    [caron caroncmb acaron ccaron dcaron ecaron ncaron rcaron scaron zcaron]
    2      798    [trademark]
   14      795    [dotaccent dotaccentcmb ml_fraction_one_one_hundred_and_sixtieth uni1E9E cdotaccent edotaccent gdotaccent zdotaccent]
    3      787    [ordfeminine ml_vertical_bar_virama]
   12      786    [macron macroncmb amacron emacron imacron omacron umacron]
    2      785    [ml_fraction_three_quarters]
   20      781    [two three eight nine Euro Q braceleft braceright ml_digit_five uni20B9]
    4      778    [ampersand sterling]
    2      773    [percent]
    2      772    [registered]
    2      770    [eth fraction]
   12      768    [ml_na_virama_rra ml_chillu_n_virama_rra ml_na_virama_rra_sign_u ml_na_virama_rra_sign_uu ml_chillu_n_virama_rra_sign_u ml_chillu_n_virama_rra_sign_uu]
    7      766    [i ij j ml_sign_i ml_sign_i.wrap]
   42      765    [AE C G O f ff fi ft hungarumlaut hungarumlautcmb question Ccircumflex Gcircumflex Ocircumflex Cacute Oacute Ccedilla Gcedilla Omacron Ograve Ccaron Odieresis Cdotaccent Gdotaccent Otilde ohungarumlaut uhungarumlaut Ohungarumlaut]
   14      764    [ml_chillu_lll ml_chillu_nn ml_chillu_n ml_chillu_rr ml_chillu_l ml_chillu_ll ml_chillu_k]
    2      762    [ml_circular_virama]
   11      761    [S numbersign Scircumflex Sacute Scedilla Scaron Scommaaccent]
    6      758    [zero Oslash copyright]
   17      757    [AE OE acute acutecmb aacute cacute eacute iacute nacute oacute racute sacute uacute wacute yacute zacute]
    1      754    [paragraph]
    8      753    [OE tilde tildecmb atilde itilde ntilde otilde utilde]
  207      750    [one four seven A AE B C D Dcroat E Eng Eth F G H Hbar I IJ J K L Lslash M N OE P R S T Thorn U V W X Y Z backslash bar bracketleft bracketright breve brevecmb brokenbar paragraph percent slash yen ml_digit_four ml_digit_nine uni20A9 Ccircumflex Ecircumflex Gcircumflex Hcircumflex Icircumflex Scircumflex Ucircumflex Wcircumflex Ycircumflex Aacute Cacute Eacute Iacute Lacute Nacute Racute Sacute Uacute Wacute Yacute Zacute Ccedilla Gcedilla Kcedilla Lcedilla Ncedilla Rcedilla Scedilla Uring Emacron Imacron Umacron Agrave Egrave Igrave Ugrave Wgrave Ygrave Ccaron Dcaron Ecaron Lcaron Ncaron Rcaron Scaron Tcaron Zcaron Edieresis Idieresis Udieresis Wdieresis Ydieresis Cdotaccent Edotaccent Gdotaccent Idotaccent Zdotaccent Itilde Ntilde Utilde abreve gbreve ubreve Gbreve Ubreve Aogonek Eogonek Iogonek Uogonek Uhungarumlaut Scommaaccent Tcommaaccent]
    2      748    [five]
    2      743    [at]
    2      724    [ml_candrabindu]
    8      702    [percent tilde tildecmb atilde itilde ntilde otilde utilde]
    1      692    [ordmasculine]
    2      691    [germandbls]
    4      687    [ml_combining_anusvara_above ml_avagraha]
    2      684    [quotedblleft quoteleft]
    5      682    [degree ring ringcmb aring uring]
    1      675    [ft]
    5      664    [breve brevecmb abreve gbreve ubreve]
    1      663    [dcroat]
    1      657    [registered]
    2      626    [hbar]
    1      625    [registered]
    1      616    [copyright]
    1      608    [ml_sign_ii]
    1      605    [ml_virama]
    1      602    [trademark]
    1      598    [Hbar]
    1      593    [uni20B9]
    3      592    [exclamdown questiondown]
    1      591    [Hbar]
    1      588    [uni20A9]
    1      587    [ml_circular_virama]
    1      583    [Hbar]
    6      578    [ml_cha ml_cha_sign_u ml_cha_sign_uu]
    6      573    [ml_ga_virama_ma ml_ga_virama_ma_sign_u ml_ga_virama_ma_sign_uu]
    5      570    [ordfeminine ml_fraction_one_tenth ml_fraction_one_half]
    2      566    [ml_fraction_one_fortieth]
    3      561    [i ml_ra_sign_uu]
   14      558    [ml_nna_virama_tta ml_ta_virama_bha ml_ta_virama_ma ml_nna_virama_tta_sign_u ml_nna_virama_tta_sign_uu ml_ta_virama_ma_sign_u ml_ta_virama_ma_sign_uu]
    2      557    [pi]
   79      556    [ml_ii ml_vocalic_r ml_kha ml_nga_virama_ka_virama_ra ml_ja_virama_ja ml_ja_virama_ja_sign_u ml_ja_virama_ja_sign_uu ml_nya_virama_ja ml_nya_virama_ja_sign_u ml_nya_virama_ja_sign_uu ml_ddha ml_ta_virama_tha ml_pha ml_pha_virama_ra ml_pha_virama_rra_virama_rra ml_ra_sign_uu ml_sa_virama_tha ml_sign_au ml_fraction_three_twentieths ml_fraction_one_fifth ml_archaic_ii ml_vocalic_rr ml_digit_one ml_digit_seven ml_fraction_three_sixteenths ml_pha_virama_la ml_kha_sign_u ml_kha_sign_uu ml_ddha_sign_u ml_ddha_sign_uu ml_pha_sign_u ml_pha_sign_uu ml_ta_virama_tha_sign_u ml_ta_virama_tha_sign_uu ml_sa_virama_tha_sign_u ml_sa_virama_tha_sign_uu ml_nga_virama_ka_virama_ra_sign_u ml_nga_virama_ka_virama_ra_sign_uu ml_pha_virama_ra_sign_u ml_pha_virama_ra_sign_uu]
    2      554    [ml_ra_sign_u]
    2      553    [ml_sign_u ml_sign_uu]
    7      551    [section ml_candrabindu ml_sha_virama_na ml_sha_virama_sha ml_sha_virama_sha_sign_u ml_sha_virama_sha_sign_uu]
   33      550    [ml_ga ml_ga_sign_u ml_ga_sign_uu ml_ga_sign_vocalic_r ml_ga_virama_da ml_ga_virama_da_virama_dha ml_ga_virama_da_virama_dha_virama_ra ml_ga_virama_na ml_ga_virama_na_sign_u ml_ga_virama_na_sign_uu ml_ga_virama_ra ml_sha ml_sha_sign_u ml_sha_sign_uu ml_sha_sign_vocalic_r ml_sha_virama_ca ml_sha_virama_ra ml_sign_oo ml_ga_virama_la ml_sha_virama_la ml_ga_virama_da_sign_u ml_ga_virama_da_sign_uu ml_ga_virama_da_virama_dha_sign_u ml_ga_virama_da_virama_dha_sign_uu ml_sha_virama_ca_sign_u ml_sha_virama_ca_sign_uu ml_ga_virama_ra_sign_u ml_ga_virama_ra_sign_uu ml_ga_virama_da_virama_dha_virama_ra_sign_u ml_ga_virama_da_virama_dha_virama_ra_sign_uu ml_sha_virama_ra_sign_u ml_sha_virama_ra_sign_uu]
   44      549    [ml_dda ml_dda_sign_vocalic_r ml_dda_virama_dda ml_dda_virama_ddha ml_dda_virama_ra ml_nna_virama_tta_virama_ra ml_nna_virama_dda ml_ta_virama_ta_virama_ra ml_da_virama_dha_virama_ra ml_dha ml_dha_sign_vocalic_r ml_dha_virama_ra ml_na_virama_dha ml_na_virama_dha_virama_ra ml_ba_virama_ra ml_va_virama_ra ml_ha_virama_ra ml_number_ten ml_dda_sign_u ml_dda_sign_uu ml_dha_sign_u ml_dha_sign_uu ml_nna_virama_dda_sign_u ml_nna_virama_dda_sign_uu ml_na_virama_dha_sign_u ml_na_virama_dha_sign_uu ml_dda_virama_ra_sign_u ml_dda_virama_ra_sign_uu ml_nna_virama_tta_virama_ra_sign_u ml_nna_virama_tta_virama_ra_sign_uu ml_ta_virama_ta_virama_ra_sign_u ml_ta_virama_ta_virama_ra_sign_uu ml_dha_virama_ra_sign_u ml_dha_virama_ra_sign_uu ml_na_virama_dha_virama_ra_sign_u ml_na_virama_dha_virama_ra_sign_uu ml_da_virama_dha_virama_ra_sign_u ml_da_virama_dha_virama_ra_sign_uu ml_ba_virama_ra_sign_u ml_ba_virama_ra_sign_uu ml_va_virama_ra_sign_u ml_va_virama_ra_sign_uu ml_ha_virama_ra_sign_u ml_ha_virama_ra_sign_uu]
   13      548    [ml_tta_virama_tta ml_sa ml_sa_virama_ra ml_sa_virama_la ml_sa_sign_u ml_sa_sign_uu ml_tta_virama_tta_sign_u ml_tta_virama_tta_sign_uu ml_sa_virama_ra_sign_u ml_sa_virama_ra_sign_uu]
   64      547    [ml_ka_virama_ka_sign_u ml_ka_virama_ka_virama_ra ml_nga_virama_nga ml_tta_virama_ra ml_da_virama_dha ml_da_virama_ra ml_pa_virama_ra ml_bha_sign_uu ml_bha_virama_ra ml_ma_virama_pa_virama_ra ml_ma_virama_ra ml_ya ml_ya_virama_ya ml_llla ml_ssa_virama_ra ml_sa_sign_vocalic_r ml_sa_virama_ta ml_sa_virama_ta_virama_ra ml_sa_virama_na ml_sa_virama_pa ml_sa_virama_rra_virama_rra ml_sa_virama_sa ml_fraction_one_fifth ml_ya_sign_u ml_ya_sign_uu ml_llla_sign_u ml_llla_sign_uu ml_nga_virama_nga_sign_u ml_nga_virama_nga_sign_uu ml_da_virama_dha_sign_u ml_da_virama_dha_sign_uu ml_ya_virama_ya_sign_u ml_ya_virama_ya_sign_uu ml_sa_virama_sa_sign_u ml_sa_virama_sa_sign_uu ml_ka_virama_ka_virama_ra_sign_u ml_ka_virama_ka_virama_ra_sign_uu ml_tta_virama_ra_sign_u ml_tta_virama_ra_sign_uu ml_da_virama_ra_sign_u ml_da_virama_ra_sign_uu ml_pa_virama_ra_sign_u ml_pa_virama_ra_sign_uu ml_bha_virama_ra_sign_u ml_bha_virama_ra_sign_uu ml_ma_virama_ra_sign_u ml_ma_virama_ra_sign_uu ml_ma_virama_pa_virama_ra_sign_u ml_ma_virama_pa_virama_ra_sign_uu ml_ssa_virama_ra_sign_u ml_ssa_virama_ra_sign_uu]
   18      546    [ml_ee ml_ka_virama_ka_sign_uu ml_tta ml_tta_sign_vocalic_r ml_ta_sign_uu ml_ta_virama_ta_sign_uu ml_na_virama_ta_sign_uu ml_tta_sign_u ml_tta_sign_uu]
   26      544    [ae at c p ml_nga_virama_nga ml_sha_virama_ca ml_para ccircumflex cacute ccedilla ccaron cdotaccent ml_nga_virama_nga_sign_u ml_nga_virama_nga_sign_uu ml_sha_virama_ca_sign_u ml_sha_virama_ca_sign_uu]
   20      543    [cent m n r u ucircumflex uacute ncedilla rcedilla uring umacron ugrave udieresis utilde ubreve uogonek uhungarumlaut]
   12      542    [d dcroat q ml_sha_virama_sha ml_sha_virama_sha_sign_u ml_sha_virama_sha_sign_uu ml_sa_virama_ta ml_sa_virama_ta_virama_ra ml_sa_virama_na ml_sa_virama_rra_virama_rra dcaron]
