Vertical Stem List for /home/santhosh/work/fonts/Malini/fonts/Malini/otf/Malini-Regular.otf on Mon Jan 23 15:26:54 2023
count    width    glyphs
  521       90    [B D Dcroat E Eth F G H Hbar I IJ J K L Lslash M P R T Thorn Y at b bar bracketleft bracketright brokenbar d dcroat dotlessi dotlessj eng f ff fi ft h hbar i ij j k l logicalnot lslash m mu n p paragraph plus plusminus q r t thorn tt u yen ml_a ml_aa ml_i ml_ii ml_vocalic_l ml_e ml_ee ml_ai ml_ka_virama_ssa ml_kha ml_ga_virama_da_virama_dha ml_ga_virama_da_virama_dha_virama_ra ml_ga_virama_na ml_ga_virama_na_sign_u ml_ga_virama_ma ml_gha ml_nga ml_nga_virama_nga ml_ca ml_ca_virama_ca ml_ca_virama_cha ml_ja_virama_nya ml_jha ml_nya ml_nya_virama_ca ml_nya_virama_ja ml_nya_virama_ja_sign_u ml_nya_virama_ja_sign_uu ml_nya_virama_nya ml_dda ml_dda_sign_vocalic_r ml_dda_virama_dda ml_dda_virama_ddha ml_dda_virama_ra ml_ddha ml_nna ml_nna_sign_u ml_nna_sign_uu ml_nna_virama_tta ml_nna_virama_tta_virama_ra ml_nna_virama_ttha ml_nna_virama_dda ml_nna_virama_nna ml_nna_virama_nna_sign_u ml_nna_virama_nna_sign_uu ml_nna_virama_ma ml_ta_virama_ta ml_ta_virama_ta_sign_u ml_ta_virama_ta_sign_uu ml_ta_virama_ta_sign_vocalic_r ml_ta_virama_ta_virama_ra ml_ta_virama_tha ml_ta_virama_na ml_ta_virama_bha ml_ta_virama_bha_sign_u ml_ta_virama_ma ml_ta_virama_sa ml_tha ml_da_virama_dha ml_da_virama_dha_virama_ra ml_dha ml_dha_sign_vocalic_r ml_dha_virama_ra ml_na ml_na_sign_u ml_na_sign_uu ml_na_sign_vocalic_r ml_na_virama_ta ml_na_virama_ta_sign_u ml_na_virama_ta_sign_uu ml_na_virama_ta_virama_ra ml_na_virama_tha ml_na_virama_da ml_na_virama_da_virama_ra ml_na_virama_dha ml_na_virama_dha_virama_ra ml_na_virama_na ml_na_virama_na_sign_u ml_na_virama_na_sign_uu ml_na_virama_rra ml_nnna ml_pa ml_pa_sign_vocalic_r ml_pa_virama_ta ml_pa_virama_na ml_pa_virama_pa ml_pa_virama_ra ml_pa_virama_rra_virama_rra ml_pha ml_pha_virama_ra ml_pha_virama_rra_virama_rra ml_ba ml_ba_sign_vocalic_r ml_ba_virama_da ml_ba_virama_ba ml_ba_virama_ra ml_ma_virama_pa ml_ma_virama_pa_virama_ra ml_ya_virama_ya ml_la ml_la_virama_pa ml_la_virama_la ml_va ml_va_sign_vocalic_r ml_va_virama_ra ml_va_virama_va ml_sha_virama_ca ml_ssa ml_ssa_virama_tta ml_ssa_virama_tta_virama_ra ml_ssa_virama_ttha ml_ssa_virama_pa ml_ssa_virama_ra ml_sa ml_sa_sign_vocalic_r ml_sa_virama_ta ml_sa_virama_ta_virama_ra ml_sa_virama_tha ml_sa_virama_na ml_sa_virama_pa ml_sa_virama_ra ml_sa_virama_rra_virama_rra ml_sa_virama_sa ml_ha_virama_na ml_ha_virama_na_sign_u ml_ha_virama_na_sign_uu ml_ttta ml_sign_i ml_sign_i.wrap ml_sign_ii ml_virama_va ml_para ml_fraction_three_eightieths ml_fraction_one_twentieth ml_vocalic_ll ml_digit_one ml_digit_three ml_digit_eight ml_digit_nine ml_number_ten ml_number_one_thousand ml_fraction_three_quarters ml_fraction_one_eighth ml_date_mark ml_chillu_nn ml_chillu_n ml_chillu_n_virama_rra hcircumflex icircumflex ucircumflex Ecircumflex Gcircumflex Hcircumflex Icircumflex Ycircumflex iacute lacute nacute racute uacute Eacute Iacute Lacute Racute Yacute kcedilla lcedilla ncedilla rcedilla Gcedilla Kcedilla Lcedilla Rcedilla uring imacron umacron Emacron Imacron igrave ugrave Egrave Igrave Ygrave dcaron lcaron ncaron rcaron tcaron Dcaron Ecaron Lcaron Rcaron Tcaron idieresis udieresis Edieresis Idieresis Ydieresis Edotaccent Gdotaccent Idotaccent itilde ntilde utilde Itilde ubreve Gbreve iogonek uogonek Eogonek Iogonek uhungarumlaut tcommaaccent Tcommaaccent ml_pa_virama_la ml_pha_virama_la ml_ba_virama_la ml_va_virama_la ml_sa_virama_la ml_kha_sign_u ml_kha_sign_uu ml_gha_sign_u ml_gha_sign_uu ml_nga_sign_u ml_nga_sign_uu ml_ca_sign_u ml_ca_sign_uu ml_jha_sign_u ml_jha_sign_uu ml_nya_sign_u ml_nya_sign_uu ml_dda_sign_u ml_dda_sign_uu ml_ddha_sign_u ml_ddha_sign_uu ml_tha_sign_u ml_tha_sign_uu ml_dha_sign_u ml_dha_sign_uu ml_pa_sign_u ml_pa_sign_uu ml_pha_sign_u ml_pha_sign_uu ml_ba_sign_u ml_ba_sign_uu ml_la_sign_u ml_la_sign_uu ml_va_sign_u ml_va_sign_uu ml_ssa_sign_u ml_ssa_sign_uu ml_sa_sign_u ml_sa_sign_uu ml_ka_virama_ssa_sign_u ml_ka_virama_ssa_sign_uu ml_ga_virama_da_virama_dha_sign_u ml_ga_virama_da_virama_dha_sign_uu ml_ga_virama_ma_sign_u ml_ga_virama_ma_sign_uu ml_nga_virama_nga_sign_u ml_nga_virama_nga_sign_uu ml_ca_virama_ca_sign_u ml_ca_virama_ca_sign_uu ml_nya_virama_ca_sign_u ml_nya_virama_ca_sign_uu ml_ja_virama_nya_sign_u ml_ja_virama_nya_sign_uu ml_nya_virama_nya_sign_u ml_nya_virama_nya_sign_uu ml_nna_virama_dda_sign_u ml_nna_virama_dda_sign_uu ml_nna_virama_tta_sign_u ml_nna_virama_tta_sign_uu ml_nna_virama_ma_sign_u ml_nna_virama_ma_sign_uu ml_ta_virama_tha_sign_u ml_ta_virama_tha_sign_uu ml_da_virama_dha_sign_u ml_da_virama_dha_sign_uu ml_ta_virama_sa_sign_u ml_ta_virama_sa_sign_uu ml_ta_virama_ma_sign_u ml_ta_virama_ma_sign_uu ml_na_virama_tha_sign_u ml_na_virama_tha_sign_uu ml_na_virama_da_sign_u ml_na_virama_da_sign_uu ml_na_virama_dha_sign_u ml_na_virama_dha_sign_uu ml_na_virama_rra_sign_u ml_na_virama_rra_sign_uu ml_chillu_n_virama_rra_sign_u ml_chillu_n_virama_rra_sign_uu ml_pa_virama_pa_sign_u ml_pa_virama_pa_sign_uu ml_ba_virama_ba_sign_u ml_ba_virama_ba_sign_uu ml_ma_virama_pa_sign_u ml_ma_virama_pa_sign_uu ml_ya_virama_ya_sign_u ml_ya_virama_ya_sign_uu ml_la_virama_la_sign_u ml_la_virama_la_sign_uu ml_va_virama_va_sign_u ml_va_virama_va_sign_uu ml_sha_virama_ca_sign_u ml_sha_virama_ca_sign_uu ml_sa_virama_sa_sign_u ml_sa_virama_sa_sign_uu ml_sa_virama_tha_sign_u ml_sa_virama_tha_sign_uu ml_ga_virama_da_virama_dha_virama_ra_sign_u ml_ga_virama_da_virama_dha_virama_ra_sign_uu ml_dda_virama_ra_sign_u ml_dda_virama_ra_sign_uu ml_nna_virama_tta_virama_ra_sign_u ml_nna_virama_tta_virama_ra_sign_uu ml_ta_virama_ta_virama_ra_sign_u ml_ta_virama_ta_virama_ra_sign_uu ml_dha_virama_ra_sign_u ml_dha_virama_ra_sign_uu ml_na_virama_ta_virama_ra_sign_u ml_na_virama_ta_virama_ra_sign_uu ml_na_virama_da_virama_ra_sign_u ml_na_virama_da_virama_ra_sign_uu ml_na_virama_dha_virama_ra_sign_u ml_na_virama_dha_virama_ra_sign_uu ml_da_virama_dha_virama_ra_sign_u ml_da_virama_dha_virama_ra_sign_uu ml_pa_virama_ra_sign_u ml_pa_virama_ra_sign_uu ml_pha_virama_ra_sign_u ml_pha_virama_ra_sign_uu ml_ba_virama_ra_sign_u ml_ba_virama_ra_sign_uu ml_ma_virama_pa_virama_ra_sign_u ml_ma_virama_pa_virama_ra_sign_uu ml_va_virama_ra_sign_u ml_va_virama_ra_sign_uu ml_sa_virama_ra_sign_u ml_sa_virama_ra_sign_uu ml_ssa_virama_ra_sign_u ml_ssa_virama_ra_sign_uu]
   90       95    [a hbar m ml_ga_virama_da_virama_dha_virama_ra ml_ga_virama_ra ml_gha ml_jha ml_dda ml_dda_sign_vocalic_r ml_dda_virama_dda ml_dda_virama_ddha ml_ddha ml_ta_virama_tha ml_ta_virama_ma ml_ta_virama_sa ml_na_virama_dha ml_ma ml_ma_sign_vocalic_r ml_va_virama_ra ml_sha_virama_ra ml_sa ml_sa_sign_vocalic_r ml_sa_virama_ta ml_sa_virama_ta_virama_ra ml_sa_virama_tha ml_sa_virama_na ml_sa_virama_pa ml_sa_virama_rra_virama_rra ml_sa_virama_sa ml_ha_virama_ma ml_fraction_three_twentieths ml_fraction_three_sixteenths acircumflex aacute aring amacron agrave acaron adieresis atilde abreve aogonek ml_ka_virama_la ml_pa_virama_la ml_pha_virama_la ml_ba_virama_la ml_ma_virama_la ml_va_virama_la ml_sa_virama_la ml_ha_virama_la ml_gha_sign_u ml_gha_sign_uu ml_jha_sign_u ml_jha_sign_uu ml_dda_sign_u ml_dda_sign_uu ml_ddha_sign_u ml_ddha_sign_uu ml_ma_sign_u ml_ma_sign_uu ml_sa_sign_u ml_sa_sign_uu ml_ta_virama_tha_sign_u ml_ta_virama_tha_sign_uu ml_ta_virama_sa_sign_u ml_ta_virama_sa_sign_uu ml_ta_virama_ma_sign_u ml_ta_virama_ma_sign_uu ml_na_virama_dha_sign_u ml_na_virama_dha_sign_uu ml_sa_virama_sa_sign_u ml_sa_virama_sa_sign_uu ml_sa_virama_tha_sign_u ml_sa_virama_tha_sign_uu ml_ha_virama_ma_sign_u ml_ha_virama_ma_sign_uu ml_ga_virama_ra_sign_u ml_ga_virama_ra_sign_uu ml_ga_virama_da_virama_dha_virama_ra_sign_u ml_ga_virama_da_virama_dha_virama_ra_sign_uu ml_sha_virama_ra_sign_u ml_sha_virama_ra_sign_uu ml_ssa_virama_ra_sign_u ml_ssa_virama_ra_sign_uu]
   86       94    [one four eng h n ml_ga ml_ga_sign_u ml_ga_sign_uu ml_ga_sign_vocalic_r ml_ga_virama_ga ml_ga_virama_da ml_ga_virama_da_virama_dha ml_ga_virama_na ml_ga_virama_na_sign_u ml_ga_virama_na_sign_uu ml_ga_virama_ma ml_dda_virama_dda ml_dda_virama_ra ml_nna_virama_ma ml_tha ml_na_virama_tha ml_na_virama_dha_virama_ra ml_na_virama_ma ml_pha_virama_ra ml_ma_sign_vocalic_r ml_ma_virama_ma ml_ma_virama_ra ml_la_virama_la ml_sha ml_sha_sign_u ml_sha_sign_uu ml_sha_sign_vocalic_r ml_sha_virama_ca ml_sha_virama_na ml_sha_virama_sha ml_sha_virama_sha_sign_u ml_sha_virama_sha_sign_uu ml_sa_virama_tha ml_sa_virama_ra ml_virama_la ml_fraction_one_sixteenth ml_chillu_ll hcircumflex nacute ncedilla ncaron ntilde ml_ga_virama_la ml_ta_virama_la ml_sha_virama_la ml_sa_virama_la ml_tha_sign_u ml_tha_sign_uu ml_ga_virama_da_sign_u ml_ga_virama_da_sign_uu ml_ga_virama_da_virama_dha_sign_u ml_ga_virama_da_virama_dha_sign_uu ml_ga_virama_ma_sign_u ml_ga_virama_ma_sign_uu ml_nna_virama_ma_sign_u ml_nna_virama_ma_sign_uu ml_na_virama_tha_sign_u ml_na_virama_tha_sign_uu ml_na_virama_ma_sign_u ml_na_virama_ma_sign_uu ml_ma_virama_ma_sign_u ml_ma_virama_ma_sign_uu ml_la_virama_la_sign_u ml_la_virama_la_sign_uu ml_sha_virama_ca_sign_u ml_sha_virama_ca_sign_uu ml_sa_virama_tha_sign_u ml_sa_virama_tha_sign_uu ml_dda_virama_ra_sign_u ml_dda_virama_ra_sign_uu ml_na_virama_dha_virama_ra_sign_u ml_na_virama_dha_virama_ra_sign_uu ml_ma_virama_ra_sign_u ml_ma_virama_ra_sign_uu ml_sa_virama_ra_sign_u ml_sa_virama_ra_sign_uu]
   49       51    [Eng M N U cent trademark ml_ga_virama_na_sign_uu ml_nya_virama_ja ml_nya_virama_ja_sign_u ml_nya_virama_ja_sign_uu ml_tha ml_ssa ml_sa_virama_tha ml_fraction_three_eightieths ml_sign_vocalic_l ml_sign_vocalic_ll ml_digit_one ml_digit_six ml_number_one_hundred Ucircumflex Nacute Uacute Ncedilla Uring Umacron Ugrave Ncaron Udieresis Ntilde Utilde Ubreve Uogonek Uhungarumlaut ml_ha_virama_la ml_tha_sign_u ml_tha_sign_uu ml_ssa_sign_u ml_ssa_sign_uu ml_sa_virama_tha_sign_u ml_sa_virama_tha_sign_uu]
   46       62    [four ml_pa ml_pa_sign_vocalic_r ml_pa_virama_ta ml_pa_virama_na ml_pa_virama_pa ml_pa_virama_rra_virama_rra ml_pha ml_va ml_va_sign_vocalic_r ml_va_virama_ra ml_va_virama_va ml_ssa ml_ssa_virama_tta ml_ssa_virama_tta_virama_ra ml_ssa_virama_ttha ml_ssa_virama_pa ml_ha ml_ha_sign_u ml_ha_sign_uu ml_ha_sign_vocalic_r ml_ha_virama_na ml_ha_virama_na_sign_u ml_ha_virama_na_sign_uu ml_ha_virama_ma ml_pa_virama_la ml_pha_virama_la ml_va_virama_la ml_ha_virama_la ml_pa_sign_u ml_pa_sign_uu ml_pha_sign_u ml_pha_sign_uu ml_va_sign_u ml_va_sign_uu ml_ssa_sign_u ml_ssa_sign_uu ml_pa_virama_pa_sign_u ml_pa_virama_pa_sign_uu ml_va_virama_va_sign_u ml_va_virama_va_sign_uu ml_ha_virama_ma_sign_u ml_ha_virama_ma_sign_uu ml_va_virama_ra_sign_u ml_va_virama_ra_sign_uu]
   35       36    [C E F G S dollar s ml_sa_virama_pa scircumflex Ccircumflex Ecircumflex Gcircumflex Scircumflex sacute Cacute Eacute Sacute scedilla Ccedilla Gcedilla Scedilla Emacron Egrave scaron Ccaron Ecaron Scaron Edieresis Cdotaccent Edotaccent Gdotaccent Gbreve Eogonek scommaaccent Scommaaccent]
   28       93    [U ml_e ml_ee ml_ga_virama_ma ml_nna_virama_dda ml_ta_virama_ma ml_na_virama_ma ml_ma_virama_pa_virama_ra Ucircumflex Uacute Uring Umacron Ugrave Udieresis Utilde Ubreve Uogonek Uhungarumlaut ml_ga_virama_ma_sign_u ml_ga_virama_ma_sign_uu ml_nna_virama_dda_sign_u ml_nna_virama_dda_sign_uu ml_ta_virama_ma_sign_u ml_ta_virama_ma_sign_uu ml_na_virama_ma_sign_u ml_na_virama_ma_sign_uu ml_ma_virama_pa_virama_ra_sign_u ml_ma_virama_pa_virama_ra_sign_uu]
   27       56    [ml_nga_virama_nga ml_pha ml_pha_virama_rra_virama_rra ml_ma ml_ma_sign_vocalic_r ml_ma_virama_ma ml_la ml_la_virama_pa ml_la_virama_la ml_ha_virama_ma ml_chillu_m ml_pha_virama_la ml_ma_virama_la ml_pha_sign_u ml_pha_sign_uu ml_ma_sign_u ml_ma_sign_uu ml_la_sign_u ml_la_sign_uu ml_nga_virama_nga_sign_u ml_nga_virama_nga_sign_uu ml_ma_virama_ma_sign_u ml_ma_virama_ma_sign_uu ml_la_virama_la_sign_u ml_la_virama_la_sign_uu ml_ha_virama_ma_sign_u ml_ha_virama_ma_sign_uu]
   19       71    [ordfeminine ml_ja ml_ja_sign_u ml_ja_sign_uu ml_ja_virama_ja ml_ja_virama_ja_sign_u ml_ja_virama_ja_sign_uu ml_ja_virama_nya ml_ja_virama_ra ml_nya_virama_ja ml_nya_virama_ja_sign_u ml_nya_virama_ja_sign_uu ml_ja_virama_nya_sign_u ml_ja_virama_nya_sign_uu ml_ja_virama_ra_sign_u ml_ja_virama_ra_sign_uu]
   17       45    [ft paragraph t ml_gha ml_ca ml_ca_virama_cha ml_ta_virama_tha ml_pa_virama_na ml_sha_virama_ca ml_ssa_virama_pa ml_fraction_three_eightieths tcaron tcommaaccent ml_gha_sign_u ml_gha_sign_uu ml_ta_virama_tha_sign_u ml_ta_virama_tha_sign_uu]
